FedEx Express U.S. Package Standard List Rates: FedEx International Economy®										
"Effective 2/28/2011"										

Weight	Zone A 	Zone B 	Zone C 	Zone D 	Zone E 	Zone F 	Zone G 	Zone H 	Zone I 	Zone J 	Zone K 	Zone L 	Zone M 	Zone N 	Zone O 
FedEx® Envelope up to 8 oz.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pak      1 lb. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Pak     2 lbs.	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
32	$149.08 	$174.59 	$204.69 	$282.36 	$277.08 	$255.09 	$249.74 	$326.95 	$265.96 	$353.45 	$571.50 	$568.03 	$551.58 	$332.41 	$367.47 
33	$152.23 	$178.15 	$205.95 	$284.29 	$279.10 	$260.01 	$251.26 	$333.04 	$270.94 	$359.67 	$582.19 	$578.65 	$562.14 	$342.52 	$375.03 
34	$155.38 	$181.41 	$210.53 	$284.55 	$279.37 	$268.68 	$251.51 	$338.53 	$275.25 	$366.55 	$592.58 	$588.98 	$570.35 	$343.54 	$382.57 
35	$158.55 	$184.36 	$210.99 	$287.31 	$279.64 	$273.68 	$252.57 	$344.63 	$280.23 	$376.38 	$603.26 	$590.02 	$580.61 	$344.71 	$389.82 
36	$161.70 	$187.63 	$212.27 	$287.59 	$282.71 	$274.75 	$273.70 	$350.72 	$284.54 	$387.38 	$613.65 	$608.37 	$590.57 	$368.09 	$396.56 
37	$164.83 	$191.17 	$216.19 	$287.88 	$285.57 	$278.95 	$275.82 	$357.49 	$288.85 	$388.49 	$624.03 	$610.21 	$599.38 	$381.62 	$402.79 
38	$168.00 	$194.72 	$216.59 	$288.40 	$285.86 	$287.98 	$280.59 	$363.72 	$293.83 	$397.66 	$640.35 	$630.57 	$609.63 	$390.26 	$408.59 
39	$171.16 	$198.28 	$218.84 	$288.66 	$286.12 	$288.89 	$284.46 	$369.20 	$299.06 	$412.56 	$644.82 	$640.89 	$619.60 	$395.88 	$414.95 
40	$174.33 	$200.93 	$219.11 	$288.93 	$289.10 	$292.13 	$285.45 	$374.67 	$304.29 	$414.06 	$654.90 	$650.91 	$630.16 	$397.17 	$420.62 
41	$177.49 	$204.20 	$219.87 	$289.19 	$301.86 	$299.70 	$305.11 	$380.59 	$308.33 	$424.56 	$665.29 	$661.24 	$639.54 	$402.74 	$426.98 
42	$180.68 	$207.16 	$220.61 	$289.47 	$303.14 	$300.46 	$307.08 	$384.24 	$311.42 	$425.61 	$674.93 	$671.56 	$648.93 	$403.31 	$432.67 
43	$183.85 	$210.99 	$222.20 	$292.13 	$303.41 	$304.34 	$307.33 	$388.52 	$315.72 	$439.46 	$675.96 	$681.89 	$659.78 	$404.64 	$439.03 
44	$187.04 	$213.95 	$223.78 	$292.41 	$306.21 	$308.83 	$309.70 	$394.30 	$319.70 	$445.48 	$696.45 	$692.21 	$670.93 	$431.08 	$444.70 
45	$190.23 	$216.91 	$225.75 	$294.00 	$334.54 	$319.74 	$312.04 	$400.39 	$323.67 	$451.14 	$706.83 	$702.53 	$679.14 	$440.91 	$451.06 
46	$193.42 	$219.59 	$229.66 	$325.62 	$337.38 	$320.85 	$314.37 	$406.49 	$328.32 	$451.71 	$724.22 	$713.15 	$692.04 	$441.90 	$456.75 
47	$196.60 	$222.83 	$232.61 	$328.79 	$337.67 	$324.53 	$316.71 	$411.98 	$340.35 	$455.32 	$727.90 	$723.47 	$702.60 	$442.46 	$463.12 
48	$199.23 	$225.80 	$235.32 	$329.11 	$337.93 	$326.35 	$316.96 	$417.15 	$341.56 	$461.22 	$738.29 	$733.80 	$712.56 	$442.71 	$468.77 
49	$201.56 	$228.46 	$238.54 	$329.37 	$338.20 	$327.47 	$317.21 	$422.64 	$341.83 	$471.32 	$747.14 	$744.12 	$717.84 	$443.01 	$475.13 
50	$204.18 	$231.43 	$238.87 	$329.63 	$338.46 	$329.08 	$317.76 	$428.73 	$344.90 	$472.33 	$748.03 	$754.14 	$730.74 	$443.26 	$480.63 
51	$207.90 	$234.53 	$240.47 	$329.91 	$338.73 	$333.87 	$328.60 	$433.30 	$348.72 	$477.80 	$749.25 	$764.47 	$737.77 	$445.54 	$488.99 
52	$209.42 	$237.64 	$242.30 	$330.18 	$339.77 	$342.69 	$329.69 	$437.87 	$352.53 	$487.71 	$773.44 	$769.78 	$744.82 	$447.82 	$489.83 
53	$212.90 	$240.28 	$244.13 	$330.45 	$360.43 	$343.58 	$336.05 	$441.07 	$356.19 	$488.71 	$777.71 	$775.09 	$749.86 	$450.09 	$498.16 
54	$215.38 	$242.65 	$244.44 	$330.77 	$362.51 	$343.83 	$338.91 	$444.27 	$360.15 	$493.34 	$784.13 	$779.78 	$750.37 	$456.62 	$499.01 
55	$217.87 	$245.38 	$246.98 	$337.07 	$365.40 	$348.05 	$343.22 	$446.93 	$364.13 	$499.73 	$790.54 	$780.26 	$758.00 	$457.28 	$503.43 
56	$220.36 	$248.11 	$249.52 	$343.37 	$368.29 	$352.27 	$347.53 	$449.59 	$368.11 	$506.12 	$796.95 	$780.74 	$765.63 	$457.94 	$507.85 
57	$222.85 	$250.84 	$252.06 	$349.67 	$371.18 	$356.49 	$351.84 	$452.25 	$372.09 	$512.51 	$803.36 	$781.22 	$773.26 	$458.60 	$512.27 
58	$225.34 	$253.57 	$254.60 	$355.97 	$374.07 	$360.71 	$356.15 	$454.91 	$376.07 	$518.90 	$809.77 	$781.70 	$780.89 	$459.26 	$516.69 
59	$227.88 	$258.64 	$254.88 	$356.62 	$374.95 	$370.98 	$359.02 	$457.75 	$379.54 	$519.54 	$810.42 	$791.26 	$791.51 	$459.55 	$525.09 
60	$230.39 	$260.86 	$255.15 	$357.00 	$392.40 	$373.46 	$364.96 	$460.96 	$383.05 	$519.96 	$816.35 	$810.09 	$792.59 	$459.82 	$525.93 
61	$232.99 	$263.08 	$258.21 	$364.43 	$394.15 	$377.79 	$365.81 	$464.94 	$387.19 	$528.23 	$816.95 	$811.98 	$798.48 	$460.10 	$534.29 
62	$235.60 	$265.61 	$263.51 	$381.82 	$394.54 	$386.53 	$382.81 	$465.35 	$391.33 	$529.06 	$817.24 	$812.29 	$801.57 	$461.39 	$535.14 
63	$238.20 	$268.12 	$264.05 	$383.56 	$401.43 	$388.20 	$384.51 	$469.98 	$398.29 	$536.85 	$817.52 	$812.55 	$807.71 	$461.64 	$543.69 
64	$240.82 	$271.72 	$264.32 	$383.85 	$402.12 	$389.05 	$384.76 	$470.45 	$403.85 	$538.51 	$817.79 	$812.82 	$809.25 	$461.89 	$544.55 
65	$243.41 	$273.73 	$267.67 	$384.13 	$402.40 	$389.32 	$389.69 	$472.47 	$404.41 	$543.44 	$818.06 	$813.08 	$811.68 	$462.14 	$545.32 
66	$246.00 	$276.11 	$268.01 	$384.41 	$402.69 	$391.10 	$391.38 	$474.85 	$408.27 	$556.52 	$818.32 	$813.35 	$814.30 	$462.39 	$560.59 
67	$248.62 	$278.47 	$269.79 	$384.70 	$402.97 	$392.85 	$393.09 	$477.22 	$412.40 	$558.96 	$818.59 	$813.61 	$816.95 	$462.64 	$562.12 
68	$251.22 	$281.14 	$272.88 	$384.97 	$403.26 	$397.52 	$394.78 	$479.96 	$416.54 	$559.21 	$818.86 	$813.88 	$822.18 	$462.89 	$562.37 
69	$253.84 	$283.80 	$273.19 	$385.27 	$403.54 	$397.99 	$397.84 	$483.95 	$420.69 	$559.46 	$819.13 	$814.15 	$822.71 	$463.14 	$567.37 
70	$256.42 	$286.31 	$274.73 	$385.54 	$403.82 	$402.67 	$398.16 	$484.36 	$424.83 	$559.90 	$819.39 	$814.41 	$823.36 	$463.39 	$571.44 
71	$259.03 	$288.83 	$276.26 	$385.83 	$404.11 	$403.14 	$399.85 	$486.19 	$432.83 	$568.65 	$819.68 	$814.68 	$836.30 	$463.64 	$578.38 
72	$261.28 	$291.51 	$276.57 	$386.12 	$404.39 	$412.04 	$402.94 	$488.37 	$433.63 	$569.53 	$819.93 	$814.94 	$840.41 	$463.89 	$583.51 
73	$264.23 	$294.16 	$278.26 	$386.41 	$404.68 	$412.93 	$403.25 	$492.34 	$437.25 	$569.78 	$820.20 	$815.21 	$844.52 	$464.14 	$592.57 
74	$265.36 	$296.53 	$279.09 	$386.69 	$407.88 	$413.18 	$404.94 	$492.75 	$441.38 	$571.35 	$820.46 	$815.47 	$846.28 	$464.39 	$593.48 
75	$266.97 	$298.90 	$280.33 	$386.97 	$408.21 	$413.43 	$406.64 	$495.69 	$445.52 	$571.60 	$820.75 	$815.74 	$848.91 	$464.64 	$598.30 
76	$268.57 	$300.58 	$282.19 	$387.25 	$408.48 	$418.09 	$408.34 	$497.47 	$449.67 	$571.85 	$821.00 	$816.00 	$851.56 	$464.89 	$606.80 
77	$273.22 	$301.67 	$282.47 	$387.52 	$408.74 	$418.57 	$410.04 	$498.06 	$453.81 	$572.53 	$821.26 	$816.27 	$854.19 	$465.14 	$607.65 
78	$275.34 	$301.93 	$284.16 	$389.75 	$409.01 	$427.46 	$411.73 	$498.48 	$457.94 	$574.91 	$821.53 	$816.54 	$854.47 	$465.39 	$612.45 
79	$277.46 	$302.20 	$285.83 	$390.01 	$409.27 	$428.35 	$413.42 	$498.89 	$460.27 	$575.16 	$821.80 	$816.80 	$859.26 	$465.64 	$617.23 
80	$277.74 	$302.46 	$287.52 	$390.28 	$409.54 	$428.60 	$415.12 	$499.30 	$462.59 	$575.41 	$822.08 	$817.07 	$859.74 	$465.89 	$619.08 
81	$278.08 	$302.73 	$289.20 	$395.01 	$409.80 	$428.85 	$415.37 	$499.71 	$464.91 	$575.66 	$822.33 	$817.33 	$864.74 	$466.14 	$620.54 
82	$279.02 	$303.00 	$290.89 	$396.77 	$410.07 	$431.41 	$419.76 	$500.13 	$467.24 	$575.91 	$822.62 	$817.60 	$867.38 	$466.39 	$623.47 
83	$279.30 	$303.26 	$293.95 	$398.53 	$410.33 	$436.09 	$420.20 	$500.52 	$469.57 	$576.61 	$822.87 	$817.86 	$870.01 	$466.64 	$626.80 
84	$279.59 	$303.53 	$294.26 	$400.28 	$414.33 	$436.56 	$421.91 	$500.94 	$471.89 	$577.27 	$823.13 	$818.13 	$870.30 	$466.89 	$627.16 
85	$279.98 	$303.80 	$298.61 	$402.04 	$414.73 	$439.15 	$422.16 	$501.35 	$474.22 	$577.56 	$823.40 	$818.40 	$875.31 	$467.14 	$628.80 
86	$280.25 	$304.06 	$299.05 	$403.79 	$416.68 	$441.71 	$425.29 	$501.78 	$478.44 	$579.57 	$823.69 	$818.66 	$877.95 	$467.39 	$629.09 
87	$281.23 	$304.33 	$299.31 	$405.55 	$416.95 	$444.28 	$425.61 	$502.17 	$478.87 	$579.82 	$823.94 	$818.93 	$880.57 	$467.64 	$634.02 
88	$282.47 	$304.59 	$301.00 	$405.82 	$417.21 	$453.17 	$428.69 	$502.70 	$484.52 	$580.07 	$824.20 	$819.19 	$883.04 	$467.89 	$639.21 
89	$282.78 	$304.86 	$302.68 	$409.06 	$418.73 	$454.06 	$430.39 	$502.95 	$488.79 	$580.32 	$824.51 	$819.46 	$883.29 	$468.14 	$640.74 
90	$283.09 	$305.13 	$304.37 	$410.82 	$419.60 	$454.31 	$432.07 	$503.22 	$489.22 	$580.57 	$824.76 	$819.72 	$883.55 	$468.39 	$643.47 
91	$283.38 	$305.39 	$308.87 	$412.58 	$420.48 	$454.56 	$432.32 	$503.48 	$489.49 	$580.82 	$825.01 	$819.99 	$884.11 	$468.64 	$643.75 
92	$284.59 	$305.66 	$309.33 	$414.33 	$421.95 	$457.13 	$435.47 	$503.75 	$491.76 	$582.69 	$825.29 	$820.25 	$895.30 	$468.89 	$646.51 
93	$285.83 	$305.93 	$309.96 	$416.09 	$422.23 	$461.80 	$438.54 	$504.02 	$495.99 	$583.37 	$825.54 	$820.52 	$896.42 	$469.14 	$646.79 
94	$287.05 	$306.19 	$322.43 	$419.27 	$423.10 	$462.27 	$438.86 	$504.28 	$496.42 	$583.64 	$825.81 	$820.79 	$899.05 	$469.39 	$647.08 
95	$287.34 	$306.46 	$323.68 	$419.60 	$423.98 	$464.85 	$440.55 	$504.55 	$502.51 	$584.10 	$826.07 	$821.05 	$899.33 	$469.75 	$647.33 
96	$287.62 	$306.72 	$325.91 	$421.34 	$424.86 	$471.35 	$442.26 	$504.81 	$503.12 	$593.19 	$826.34 	$821.32 	$904.12 	$470.00 	$647.73 
97	$288.90 	$306.99 	$326.18 	$427.98 	$425.74 	$472.00 	$445.33 	$505.08 	$503.39 	$594.10 	$826.61 	$821.58 	$904.61 	$470.25 	$655.70 
98	$289.17 	$307.26 	$326.45 	$429.75 	$426.18 	$472.56 	$445.64 	$505.35 	$505.71 	$594.35 	$826.88 	$821.85 	$909.41 	$470.85 	$656.50 
99	$289.44 	$307.52 	$327.53 	$451.50 	$427.51 	$483.65 	$447.34 	$505.61 	$508.04 	$596.75 	$827.75 	$822.11 	$909.89 	$482.80 	$656.75 
100	$290.00 	$308.00 	$349.00 	$454.00 	$454.00 	$509.00 	$469.00 	$506.00 	$531.00 	$597.00 	$828.00 	$823.00 	$914.00 	$484.00 	$657.00 


Multiweight/Per-Pound Rates (multiply by total shipment weight)										
"Effective 2/28/2011"										

Weight	Zone A 	Zone B 	Zone C 	Zone D 	Zone E 	Zone F 	Zone G 	Zone H 	Zone I 	Zone J 	Zone K 	Zone L 	Zone M 	Zone N 	Zone O 
100-999 lbs.	$2.90 	$3.08 	$3.49 	$4.54 	$4.54 	$5.09 	$4.69 	$5.06 	$5.31 	$5.97 	$8.28 	$8.23 	$9.14 	$4.84 	$6.57 
1000+ lbs.	$2.67 	$2.80 	$3.18 	$4.13 	$4.18 	$4.68 	$4.31 	$4.66 	$4.83 	$5.49 	$7.62 	$7.49 	$8.32 	$4.45 	$6.04 


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. 										
