HTTP/1.1 200 OK
Content-Length: 314
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:46 GMT
Accept-Ranges: bytes
ETag: "0a372163aa9cb1:3617"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:45:18 GMT
Connection: keep-alive

Priority Mail - Commercial Plus Cubic ,,,,,,,

,Zones,,,,,,
Cubic Ft. Range Up To:,"L, 1 & 2",3,4,5,6,7,8
0.1,4.3,4.36,4.45,4.59,4.72,4.85,5.08
0.2,4.86,4.96,5.13,5.3,5.47,5.65,6.02
0.3,5.05,5.45,6.07,7.42,8.29,8.97,9.85
0.4,5.32,6.18,7.1,8.84,10.32,11.28,12.67
0.5,6.03,7.21,8.19,10.87,12.62,13.88,15.82
