FedEx Express U.S. Package Standard List Rates: FedEx International Priority®										
"Effective 2/28/2011"										

Weight	Zone A 	Zone B 	Zone C 	Zone D 	Zone E 	Zone F 	Zone G 	Zone H 	Zone I 	Zone J 	Zone K 	Zone L 	Zone M 	Zone N 	Zone O 
30	$187.06 	$209.68 	$228.42 	$294.36 	$295.37 	$287.27 	$287.30 	$337.17 	$275.54 	$371.51 	$591.00 	$613.54 	$679.67 	$352.20 	$381.38 
31	$189.76 	$213.27 	$230.83 	$294.99 	$301.28 	$292.91 	$294.00 	$344.01 	$282.58 	$380.44 	$602.47 	$625.44 	$695.83 	$367.63 	$390.29 
32	$193.69 	$216.81 	$232.04 	$295.94 	$310.60 	$300.67 	$294.67 	$351.57 	$295.01 	$389.67 	$614.53 	$637.96 	$713.43 	$369.18 	$399.23 
33	$197.60 	$221.11 	$234.73 	$314.90 	$316.51 	$306.58 	$308.01 	$359.12 	$301.37 	$398.61 	$626.88 	$650.78 	$729.00 	$369.92 	$408.14 
34	$201.53 	$224.68 	$236.24 	$316.80 	$323.36 	$312.80 	$314.25 	$366.32 	$312.46 	$407.22 	$638.34 	$662.68 	$745.16 	$384.71 	$417.40 
35	$204.85 	$228.27 	$238.64 	$329.57 	$329.57 	$319.36 	$314.91 	$373.52 	$313.80 	$416.14 	$659.72 	$674.60 	$760.74 	$386.19 	$426.33 
36	$207.57 	$231.82 	$240.15 	$335.48 	$335.48 	$325.26 	$326.77 	$380.04 	$340.39 	$432.35 	$661.86 	$687.11 	$776.90 	$411.84 	$434.87 
37	$211.78 	$236.11 	$243.15 	$341.70 	$341.70 	$331.47 	$333.02 	$387.24 	$359.37 	$433.98 	$682.71 	$698.70 	$791.89 	$420.49 	$443.28 
38	$214.51 	$239.33 	$245.85 	$346.98 	$346.98 	$337.26 	$338.94 	$394.10 	$361.27 	$451.20 	$684.80 	$710.91 	$806.61 	$429.15 	$457.74 
39	$218.42 	$242.54 	$248.86 	$354.44 	$354.44 	$343.59 	$345.19 	$401.30 	$368.68 	$459.30 	$697.15 	$723.74 	$821.61 	$437.16 	$459.19 
40	$222.34 	$245.76 	$253.67 	$360.04 	$360.04 	$348.83 	$345.82 	$407.82 	$369.43 	$460.11 	$708.62 	$735.64 	$834.60 	$437.97 	$466.70 
41	$226.27 	$249.00 	$256.67 	$366.25 	$366.25 	$354.73 	$350.75 	$415.03 	$376.54 	$469.00 	$720.09 	$747.55 	$847.87 	$439.17 	$479.91 
42	$229.88 	$252.92 	$260.58 	$370.92 	$370.92 	$360.31 	$361.99 	$422.57 	$378.12 	$477.94 	$731.55 	$759.45 	$861.71 	$463.10 	$503.53 
43	$232.91 	$258.26 	$263.58 	$378.39 	$378.39 	$366.20 	$367.90 	$430.12 	$378.48 	$486.87 	$742.43 	$771.66 	$874.98 	$465.50 	$505.90 
44	$236.23 	$262.20 	$267.50 	$383.36 	$383.36 	$371.76 	$373.49 	$437.67 	$385.66 	$495.80 	$743.58 	$783.57 	$887.39 	$480.40 	$506.36 
45	$239.85 	$265.41 	$270.51 	$389.26 	$389.26 	$377.67 	$379.43 	$444.17 	$386.75 	$504.71 	$766.53 	$795.77 	$900.37 	$484.72 	$515.36 
46	$242.56 	$271.13 	$274.11 	$395.49 	$395.49 	$381.60 	$383.37 	$451.37 	$408.37 	$520.94 	$775.96 	$805.54 	$913.64 	$489.04 	$530.90 
47	$246.18 	$273.99 	$278.62 	$402.33 	$402.33 	$387.83 	$389.63 	$458.59 	$410.54 	$522.57 	$788.02 	$818.06 	$927.49 	$502.44 	$532.46 
48	$249.49 	$279.06 	$282.23 	$408.24 	$408.23 	$393.71 	$395.55 	$465.46 	$410.80 	$531.50 	$799.48 	$829.97 	$940.48 	$503.78 	$556.35 
49	$252.22 	$281.77 	$286.43 	$414.14 	$414.44 	$399.93 	$401.79 	$472.66 	$411.06 	$540.08 	$820.06 	$841.57 	$952.87 	$504.03 	$558.74 
50	$255.84 	$285.10 	$289.44 	$414.73 	$420.36 	$405.60 	$407.49 	$478.80 	$413.35 	$548.32 	$822.12 	$853.47 	$965.84 	$509.03 	$559.19 
51	$257.42 	$287.22 	$292.54 	$426.37 	$426.37 	$406.17 	$408.06 	$479.51 	$459.03 	$549.35 	$843.26 	$875.42 	$968.66 	$532.29 	$568.10 
52	$261.87 	$290.53 	$295.76 	$431.55 	$431.55 	$412.71 	$414.63 	$493.53 	$463.61 	$569.79 	$845.65 	$877.89 	$992.78 	$534.62 	$593.50 
53	$263.76 	$292.53 	$298.76 	$433.93 	$433.93 	$413.37 	$415.29 	$494.94 	$464.07 	$571.84 	$866.99 	$900.08 	$995.20 	$534.87 	$596.04 
54	$265.93 	$295.04 	$301.77 	$440.81 	$440.81 	$419.92 	$421.87 	$503.15 	$468.96 	$579.01 	$869.14 	$902.30 	$1008.14 	$537.82 	$596.73 
55	$268.70 	$297.86 	$304.77 	$447.69 	$447.69 	$426.46 	$428.44 	$510.70 	$478.58 	$589.99 	$880.47 	$914.05 	$1021.40 	$553.87 	$610.34 
56	$271.47 	$300.68 	$307.77 	$454.57 	$454.57 	$433.00 	$435.01 	$518.25 	$488.20 	$600.97 	$891.80 	$925.80 	$1034.66 	$569.92 	$623.95 
57	$274.24 	$303.50 	$310.77 	$461.45 	$461.45 	$439.54 	$441.58 	$525.80 	$497.82 	$611.95 	$903.13 	$937.55 	$1047.92 	$585.97 	$637.56 
58	$277.01 	$306.32 	$313.77 	$468.33 	$468.33 	$446.08 	$448.15 	$533.35 	$507.44 	$622.93 	$914.46 	$949.30 	$1061.18 	$602.02 	$651.17 
59	$278.63 	$308.86 	$316.93 	$474.15 	$474.15 	$451.69 	$453.79 	$541.24 	$508.41 	$630.99 	$926.51 	$961.84 	$1074.48 	$603.63 	$652.54 
60	$285.70 	$313.15 	$320.09 	$483.79 	$483.79 	$463.31 	$465.46 	$555.90 	$508.69 	$652.61 	$938.56 	$974.35 	$1098.56 	$622.08 	$652.89 
61	$287.15 	$314.52 	$322.94 	$487.58 	$487.58 	$464.48 	$466.64 	$567.86 	$510.16 	$667.14 	$977.33 	$986.56 	$1101.01 	$627.43 	$659.32 
62	$291.12 	$318.88 	$325.81 	$497.78 	$497.78 	$475.47 	$477.68 	$581.86 	$539.31 	$670.71 	$989.42 	$998.77 	$1124.52 	$630.09 	$695.06 
63	$293.85 	$320.51 	$328.81 	$500.30 	$500.30 	$476.57 	$478.79 	$583.26 	$542.23 	$672.31 	$1001.52 	$1010.98 	$1127.22 	$633.07 	$703.49 
64	$296.57 	$323.71 	$331.82 	$510.83 	$510.83 	$487.60 	$489.87 	$585.88 	$542.53 	$703.57 	$1002.73 	$1023.19 	$1150.20 	$654.54 	$712.21 
65	$300.13 	$326.15 	$334.96 	$513.02 	$513.02 	$488.71 	$490.98 	$587.22 	$542.79 	$708.59 	$1003.02 	$1035.10 	$1153.45 	$656.70 	$713.17 
66	$300.49 	$328.85 	$338.12 	$523.89 	$523.89 	$499.72 	$502.01 	$600.92 	$544.57 	$709.10 	$1008.54 	$1047.00 	$1177.03 	$656.95 	$713.42 
67	$304.88 	$332.16 	$341.13 	$525.76 	$525.76 	$500.83 	$503.12 	$602.30 	$580.16 	$713.66 	$1038.97 	$1059.05 	$1179.97 	$657.21 	$713.87 
68	$306.21 	$334.57 	$344.13 	$537.31 	$537.31 	$511.84 	$514.22 	$616.33 	$583.73 	$729.86 	$1042.02 	$1071.11 	$1202.71 	$662.25 	$722.87 
69	$310.91 	$338.14 	$346.69 	$538.47 	$538.47 	$512.95 	$515.34 	$617.74 	$584.09 	$731.48 	$1043.08 	$1082.87 	$1206.51 	$670.54 	$732.70 
70	$312.56 	$339.70 	$349.24 	$550.03 	$550.03 	$523.95 	$526.40 	$630.83 	$584.35 	$755.83 	$1064.20 	$1094.62 	$1229.53 	$680.89 	$741.49 
71	$314.21 	$341.05 	$352.12 	$551.19 	$551.19 	$525.06 	$527.51 	$632.14 	$586.15 	$763.13 	$1066.32 	$1106.98 	$1233.04 	$686.09 	$779.98 
72	$315.87 	$342.42 	$354.96 	$561.82 	$561.82 	$527.73 	$528.66 	$646.18 	$608.73 	$770.24 	$1078.22 	$1119.34 	$1255.79 	$691.30 	$787.95 
73	$319.74 	$348.80 	$357.52 	$562.89 	$562.89 	$536.21 	$528.93 	$647.59 	$610.99 	$781.31 	$1108.59 	$1131.39 	$1259.26 	$698.37 	$799.19 
74	$324.32 	$350.87 	$360.07 	$574.44 	$574.44 	$547.22 	$529.98 	$660.67 	$611.25 	$784.98 	$1111.63 	$1143.46 	$1280.20 	$719.37 	$800.32 
75	$326.59 	$354.11 	$362.94 	$575.60 	$575.60 	$548.33 	$550.88 	$661.99 	$612.36 	$785.35 	$1112.17 	$1154.60 	$1282.30 	$721.48 	$800.62 
76	$328.85 	$356.29 	$367.57 	$587.17 	$587.17 	$559.33 	$561.94 	$676.02 	$634.31 	$791.42 	$1122.92 	$1165.75 	$1308.30 	$755.61 	$806.54 
77	$330.35 	$357.66 	$368.04 	$588.33 	$588.33 	$560.44 	$563.05 	$677.43 	$636.51 	$802.54 	$1132.12 	$1186.55 	$1312.02 	$759.40 	$807.39 
78	$331.86 	$359.02 	$370.29 	$594.53 	$599.90 	$571.46 	$574.12 	$691.23 	$636.78 	$808.70 	$1133.04 	$1188.63 	$1334.54 	$771.12 	$824.20 
79	$332.15 	$360.52 	$373.29 	$597.79 	$601.06 	$572.57 	$575.23 	$692.61 	$637.04 	$820.38 	$1134.49 	$1200.09 	$1337.86 	$780.17 	$825.89 
80	$335.78 	$362.03 	$376.30 	$601.05 	$612.60 	$583.58 	$586.26 	$705.91 	$637.87 	$825.30 	$1163.46 	$1211.53 	$1339.13 	$786.99 	$832.79 
81	$338.05 	$364.60 	$378.56 	$613.78 	$613.78 	$584.69 	$587.37 	$720.29 	$654.26 	$854.07 	$1166.36 	$1219.78 	$1364.44 	$797.15 	$843.98 
82	$339.18 	$367.16 	$380.81 	$621.28 	$621.28 	$584.98 	$587.65 	$721.73 	$655.91 	$857.84 	$1197.87 	$1228.01 	$1386.45 	$805.32 	$845.86 
83	$340.31 	$375.26 	$382.76 	$622.03 	$622.03 	$585.26 	$587.94 	$721.98 	$656.20 	$871.18 	$1201.03 	$1237.72 	$1389.60 	$806.14 	$883.46 
84	$346.35 	$376.08 	$384.72 	$632.34 	$632.34 	$586.14 	$588.22 	$723.14 	$656.46 	$872.52 	$1201.35 	$1238.71 	$1390.92 	$816.09 	$896.34 
85	$348.62 	$376.49 	$387.28 	$633.38 	$633.38 	$603.37 	$591.51 	$746.28 	$656.73 	$872.78 	$1201.60 	$1244.19 	$1417.18 	$817.09 	$897.63 
86	$350.87 	$384.65 	$389.82 	$642.08 	$642.12 	$611.70 	$591.85 	$748.60 	$656.99 	$873.55 	$1202.42 	$1249.69 	$1428.67 	$818.02 	$914.19 
87	$352.24 	$387.19 	$390.91 	$642.96 	$643.00 	$612.54 	$592.39 	$749.11 	$658.53 	$888.83 	$1203.32 	$1255.03 	$1440.13 	$835.82 	$915.85 
88	$353.58 	$387.56 	$391.93 	$654.55 	$654.55 	$623.54 	$603.04 	$759.09 	$689.14 	$890.36 	$1203.57 	$1260.37 	$1466.67 	$837.60 	$916.10 
89	$355.42 	$390.73 	$394.19 	$655.72 	$655.72 	$624.64 	$604.11 	$772.75 	$692.21 	$890.63 	$1204.59 	$1266.02 	$1470.23 	$837.85 	$916.35 
90	$356.42 	$393.60 	$396.43 	$659.15 	$659.15 	$632.98 	$612.67 	$774.12 	$692.52 	$890.88 	$1224.94 	$1271.66 	$1492.64 	$838.94 	$916.60 
91	$356.70 	$395.03 	$399.44 	$665.35 	$665.35 	$633.82 	$634.84 	$775.53 	$694.40 	$893.96 	$1233.18 	$1280.19 	$1496.47 	$860.73 	$918.12 
92	$357.77 	$395.37 	$402.46 	$668.16 	$668.16 	$642.45 	$637.06 	$789.25 	$731.91 	$895.26 	$1242.33 	$1282.64 	$1519.75 	$863.00 	$948.44 
93	$358.10 	$400.21 	$404.25 	$675.33 	$675.33 	$643.32 	$637.34 	$790.63 	$738.33 	$921.12 	$1243.25 	$1290.17 	$1552.87 	$865.24 	$951.48 
94	$359.09 	$400.70 	$406.06 	$682.15 	$682.15 	$653.98 	$637.63 	$803.72 	$738.98 	$923.71 	$1243.50 	$1290.93 	$1556.19 	$865.58 	$951.79 
95	$359.45 	$402.13 	$407.85 	$687.71 	$687.71 	$655.06 	$637.91 	$805.03 	$739.24 	$924.52 	$1243.98 	$1291.42 	$1579.60 	$872.32 	$953.38 
96	$362.13 	$402.48 	$409.66 	$693.65 	$693.65 	$666.72 	$639.58 	$815.00 	$739.50 	$940.58 	$1251.12 	$1298.83 	$1603.08 	$873.00 	$969.26 
97	$362.45 	$403.55 	$411.76 	$701.11 	$701.11 	$667.89 	$645.60 	$816.01 	$739.77 	$942.19 	$1263.93 	$1299.58 	$1606.96 	$873.25 	$985.52 
98	$366.42 	$403.90 	$413.87 	$707.03 	$707.03 	$678.60 	$679.45 	$827.67 	$741.48 	$942.57 	$1265.22 	$1313.49 	$1628.98 	$873.50 	$987.15 
99	$366.82 	$405.90 	$417.18 	$713.16 	$713.16 	$679.68 	$682.84 	$846.78 	$775.60 	$950.06 	$1267.65 	$1314.89 	$1633.71 	$873.75 	$987.96 
100	$370.00 	$407.00 	$418.00 	$714.00 	$714.00 	$689.00 	$692.00 	$850.00 	$780.00 	$975.00 	$1316.00 	$1329.00 	$1653.00 	$874.00 	$1004.00 


FedEx International Priority® Multiweight/Per-Pound Rates (multiply by total shipment weight)										
"Effective 2/28/2011"										

Weight	Zone A 	Zone B 	Zone C 	Zone D 	Zone E 	Zone F 	Zone G 	Zone H 	Zone I 	Zone J 	Zone K 	Zone L 	Zone M 	Zone N 	Zone O 
100-999 lbs.	$3.70 	$4.07 	$4.18 	$7.14 	$7.14 	$6.89 	$6.92 	$8.50 	$7.80 	$9.75 	$13.16 	$13.29 	$16.53 	$8.74 	$10.04 
1000+ lbs.	$3.40 	$3.70 	$3.80 	$6.57 	$6.57 	$6.34 	$6.37 	$7.82 	$7.10 	$8.97 	$12.11 	$12.09 	$15.04 	$8.04 	$9.24 



FedEx International Priority® FedEx 10kg Box                                 															
"Effective 2/28/2011"										

Weight	Zone A 	Zone B 	Zone C 	Zone D 	Zone E 	Zone F 	Zone G 	Zone H 	Zone I 	Zone J 	Zone K 	Zone L 	Zone M 	Zone N 	Zone O 
1-22 lbs.	$103.11 	$117.96 	$144.10 	$165.08 	$170.00 	$166.90 	$154.22 	$202.38 	$159.03 	$195.96 	$308.67 	$313.10 	$312.43 	$193.20 	$213.50 


FedEx International Priority® FedEx 25kg Box                                 															
"Effective 2/28/2011"										

Weight	Zone A 	Zone B 	Zone C 	Zone D 	Zone E 	Zone F 	Zone G 	Zone H 	Zone I 	Zone J 	Zone K 	Zone L 	Zone M 	Zone N 	Zone O 
1-56 lbs.	$157.56 	$179.90 	$196.17 	$245.79 	$258.60 	$248.37 	$239.99 	$292.06 	$237.69 	$319.82 	$511.85 	$516.98 	$565.04 	$307.88 	$341.86 


Go to fedex.com/us/rates-surcharges for additional fee and surcharge information. 										
