FedEx Express U.S. Package Standard List Rates: FedEx First Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
49	$106.60 	$140.35 	$221.90 	$234.95 	$251.40 	$262.70 	$270.50 	$274.15 	$276.70 	$207.50 
50	$106.65 	$140.50 	$221.95 	$235.00 	$251.45 	$262.75 	$270.55 	$274.20 	$276.75 	$207.55 
51	$111.05 	$145.15 	$228.00 	$244.95 	$263.80 	$270.95 	$279.90 	$283.65 	$284.95 	$216.75 
52	$112.35 	$147.70 	$231.05 	$248.30 	$267.85 	$275.00 	$284.90 	$288.80 	$293.40 	$221.80 
53	$114.10 	$149.70 	$234.10 	$252.00 	$272.20 	$279.05 	$289.30 	$293.25 	$293.45 	$221.85 
54	$115.50 	$152.20 	$237.45 	$255.15 	$275.95 	$283.95 	$294.30 	$298.30 	$300.65 	$222.85 
55	$116.85 	$154.55 	$241.60 	$258.15 	$279.70 	$288.30 	$298.30 	$302.45 	$309.40 	$228.45 
56	$118.55 	$157.00 	$245.65 	$261.20 	$283.70 	$293.15 	$302.70 	$306.85 	$309.45 	$231.10 
57	$120.35 	$159.30 	$249.65 	$264.25 	$287.40 	$297.55 	$307.45 	$311.60 	$317.55 	$231.15 
58	$122.45 	$161.50 	$253.75 	$267.55 	$291.45 	$302.40 	$312.45 	$316.70 	$317.60 	$237.80 
59	$123.80 	$163.80 	$257.75 	$271.35 	$295.50 	$306.80 	$317.50 	$321.85 	$321.90 	$251.45 
60	$124.80 	$164.75 	$261.50 	$274.70 	$299.85 	$311.55 	$321.05 	$325.40 	$325.60 	$251.50 
61	$127.55 	$168.65 	$265.55 	$279.10 	$304.25 	$316.00 	$321.10 	$332.00 	$337.10 	$258.60 
62	$130.00 	$171.20 	$269.25 	$283.90 	$308.60 	$320.80 	$332.15 	$336.75 	$340.70 	$262.40 
63	$131.75 	$174.10 	$273.40 	$287.65 	$313.30 	$325.90 	$337.25 	$341.90 	$344.55 	$262.45 
64	$133.75 	$177.00 	$277.45 	$292.05 	$318.05 	$331.10 	$342.25 	$346.95 	$351.65 	$262.55 
65	$134.45 	$179.90 	$281.15 	$296.35 	$322.75 	$336.50 	$346.60 	$347.00 	$351.70 	$267.50 
66	$137.65 	$182.75 	$285.25 	$300.75 	$327.45 	$341.65 	$352.30 	$357.20 	$357.85 	$269.00 
67	$138.15 	$185.70 	$288.95 	$305.55 	$332.55 	$347.10 	$358.00 	$362.95 	$363.30 	$276.90 
68	$141.70 	$188.55 	$293.00 	$310.25 	$337.25 	$347.15 	$363.40 	$368.40 	$370.25 	$277.85 
69	$143.45 	$191.45 	$297.00 	$315.00 	$337.30 	$348.75 	$369.10 	$374.20 	$375.80 	$281.30 
70	$143.50 	$192.75 	$297.05 	$319.45 	$342.00 	$348.80 	$373.75 	$378.90 	$380.80 	$281.35 
71	$147.55 	$197.50 	$304.85 	$324.15 	$343.50 	$357.30 	$380.10 	$385.35 	$385.95 	$289.50 
72	$148.60 	$198.85 	$304.90 	$328.90 	$343.55 	$357.35 	$380.15 	$385.40 	$392.75 	$293.25 
73	$148.65 	$203.65 	$304.95 	$328.95 	$347.75 	$362.50 	$386.35 	$391.65 	$402.75 	$293.30 
74	$148.70 	$206.55 	$306.00 	$338.35 	$355.15 	$380.90 	$386.40 	$391.70 	$402.80 	$293.35 
75	$148.75 	$208.10 	$316.70 	$338.40 	$355.20 	$385.75 	$386.45 	$391.75 	$402.85 	$293.40 
76	$156.50 	$212.65 	$324.45 	$347.50 	$361.55 	$385.80 	$404.95 	$407.00 	$419.25 	$308.85 
77	$156.55 	$213.80 	$325.80 	$347.55 	$370.00 	$387.45 	$405.70 	$415.70 	$419.30 	$313.40 
78	$156.60 	$214.90 	$325.85 	$347.60 	$370.05 	$387.50 	$405.75 	$420.75 	$422.60 	$313.45 
79	$156.65 	$219.25 	$325.90 	$358.45 	$376.15 	$395.35 	$415.00 	$425.90 	$430.05 	$313.50 
80	$156.70 	$219.30 	$325.95 	$358.50 	$376.20 	$397.85 	$415.05 	$431.00 	$433.70 	$313.55 
81	$165.55 	$223.10 	$329.45 	$358.55 	$381.70 	$402.60 	$420.70 	$431.05 	$434.80 	$322.95 
82	$167.80 	$229.45 	$343.20 	$373.25 	$384.30 	$407.95 	$434.70 	$440.80 	$447.65 	$323.00 
83	$169.45 	$231.95 	$343.25 	$373.30 	$390.95 	$413.30 	$435.20 	$442.00 	$447.70 	$323.05 
84	$169.50 	$232.25 	$343.30 	$373.35 	$391.00 	$418.85 	$435.25 	$442.10 	$447.75 	$323.10 
85	$169.55 	$234.85 	$348.30 	$385.70 	$399.55 	$423.85 	$440.20 	$442.15 	$457.15 	$323.15 
86	$174.25 	$237.40 	$355.05 	$385.75 	$399.60 	$428.75 	$445.10 	$451.15 	$457.20 	$335.20 
87	$174.30 	$241.95 	$360.05 	$387.85 	$399.65 	$434.30 	$449.60 	$461.30 	$470.90 	$356.60 
88	$174.35 	$242.50 	$363.25 	$387.90 	$410.40 	$438.80 	$464.95 	$467.35 	$470.95 	$356.65 
