HTTP/1.1 200 OK
Content-Length: 5027
Content-Type: application/octet-stream
Last-Modified: Fri, 31 Dec 2010 22:28:50 GMT
Accept-Ranges: bytes
ETag: "0fdd4183aa9cb1:3617"
Server: Microsoft-IIS/6.0
Date: Sat, 28 May 2011 06:47:19 GMT
Connection: keep-alive

Parcel Select - DDU,,,,,,,,,,,,,,,

,,,Machinable,,,,,,,,NONmachinable,,,,
,,,DNDC,DNDC,DNDC,DNDC,,,,DSCF,,DNDC,DNDC,DNDC,DNDC
Weight Not Over (Pounds),DDU,DSCF,(1 & 2),Zone 3,Zone 4,Zone 5,,Weight Not Over (Pounds),DDU,5-Digit,3-Digit,(1 & 2),Zone 3,Zone 4,Zone 5
,,,,,,,,57,4.27,10.73,11.73,18.67,23.92,24.8,30.6
,,,,,,,,58,4.31,10.89,11.89,18.94,24.18,25.03,30.95
,,,,,,,,59,4.36,11.06,12.06,19.18,24.35,25.24,31.25
,,,,,,,,60,4.4,11.19,12.19,19.42,24.49,25.39,31.55
,,,,,,,,61,4.45,11.27,12.27,19.55,24.65,25.54,31.76
,,,,,,,,62,4.49,11.43,12.43,19.82,24.86,25.82,32.1
,,,,,,,,63,4.54,11.58,12.58,20.05,25.02,26.07,32.37
,,,,,,,,64,4.58,11.76,12.76,20.32,25.22,26.36,32.73
,,,,,,,,65,4.63,11.88,12.88,20.56,25.4,26.6,32.99
,,,,,,,,66,4.67,12.01,13.01,20.75,25.61,26.9,33.36
,,,,,,,,67,4.72,12.16,13.16,20.97,25.75,27.16,33.61
,,,,,,,,68,4.76,12.29,13.29,21.22,25.96,27.4,33.96
,,,,,,,,69,4.81,12.45,13.45,21.44,26.11,27.65,34.22
,,,,,,,,70,4.85,12.6,13.6,21.7,26.33,27.96,34.56

,,,,,,,,Balloon,2.6,5.62,6.62,10.44,15.07,15.83,16.87
,,,,,,,,Oversized,7.62,17.17,17.17,26.99,38.1,51.61,53.64

,,,,,,,,Nonmachinable,0,0,1,2.36,2.36,2.36,2.36
,,,,,,,,Surcharge
,,,,,,,,Included
